Date,Open,High,Low,Close,Volume
2020-12-01,199.9,202.0,198.05,201.4,606621.0
2020-12-02,200.5,203.5,199.25,202.71,626007.0
2020-12-03,202.7,209.0,202.7,205.24,1190990.0
2020-12-04,205.55,207.77,203.19,203.76,355926.0
2020-12-07,204.95,204.95,200.7,202.07,298652.0
2020-12-08,203.01,203.01,199.0,199.25,837067.0
2020-12-09,199.76,202.5,199.2,199.66,1152184.0
2020-12-10,200.5,200.5,199.0,199.2,969307.0
2020-12-11,201.95,202.5,199.26,200.3,1556849.0
2020-12-14,201.5,207.6,201.5,206.53,1396176.0
2020-12-15,208.0,210.0,204.11,205.05,1203061.0
2020-12-16,205.99,207.5,204.2,204.9,473469.0
2020-12-17,205.99,207.82,204.5,207.39,608562.0
2020-12-18,208.1,216.47,205.83,213.27,4654552.0
2020-12-21,214.15,218.75,212.51,213.81,2716261.0
2020-12-22,213.05,221.99,213.0,215.4,4819763.0
2020-12-23,216.5,221.45,215.7,216.44,3728014.0
2020-12-24,218.0,220.0,214.0,215.07,2781288.0
2020-12-28,217.0,218.9,214.75,218.02,2096775.0
2020-12-29,221.0,222.5,212.7,213.84,3319034.0
2020-12-30,214.45,218.25,214.05,216.8,1288179.0
2020-12-31,217.55,217.99,214.5,215.3,391129.0
2021-01-01,215.99,231.44,215.99,231.44,3552844.0
2021-01-04,248.79,248.79,239.06,247.93,8433479.0
2021-01-05,244.95,246.6,237.25,244.0,3858455.0
2021-01-06,248.0,251.75,243.1,249.38,4140501.0
2021-01-07,250.4,251.0,240.0,240.93,2053268.0
2021-01-08,242.0,242.1,237.01,237.9,1176857.0
2021-01-11,242.01,242.75,235.51,236.68,1175450.0
2021-01-12,237.5,239.5,236.0,237.95,653753.0
2021-01-13,239.99,240.3,237.0,237.84,725588.0
2021-01-14,237.51,240.0,235.75,238.91,821222.0
2021-01-15,239.9,240.15,236.5,237.69,838938.0
2021-01-18,238.0,238.0,232.9,233.91,690252.0
2021-01-19,232.71,239.0,232.0,236.42,1243674.0
2021-01-20,235.51,238.5,232.3,237.3,1057533.0
